Hardware,THREADS,CPUTIME,HOST2GPU,GPUTIME,GPU2HOST
CPU,0.000000,0.303034,0.000000,0.000000,0.000000
GPU,32768.000000,0.000000,0.185460,0.007485,0.020493
GPU,16384.000000,0.000000,0.153004,0.013181,0.020240
GPU,8192.000000,0.000000,0.152418,0.025123,0.020501
GPU,4096.000000,0.000000,0.155909,0.032013,0.020960
GPU,2048.000000,0.000000,0.148291,0.050094,0.020478
GPU,1024.000000,0.000000,0.149019,0.050483,0.020375
GPU,512.000000,0.000000,0.148794,0.051576,0.020357
GPU,256.000000,0.000000,0.149127,0.053112,0.020239
GPU,128.000000,0.000000,0.149358,0.053427,0.020317
GPU,64.000000,0.000000,0.154512,0.057552,0.020337
GPU,32.000000,0.000000,0.152814,0.054987,0.020616
GPU,16.000000,0.000000,0.147521,0.071892,0.020421
GPU,8.000000,0.000000,0.153003,0.144057,0.020675
GPU,4.000000,0.000000,0.153382,0.284860,0.020723
