THREADS,CPUTIME,HOST2GPU,GPUTIME,GPU2HOST
0.000000,0.279851,0.000000,0.000000,0.000000
32768.000000,0.000000,0.116116,0.055460,0.022713
16384.000000,0.000000,0.076680,0.021067,0.019791
8192.000000,0.000000,0.076455,0.039027,0.019822
4096.000000,0.000000,0.096119,0.045661,0.019882
2048.000000,0.000000,0.085042,0.071002,0.019632
1024.000000,0.000000,0.076254,0.072304,0.019680
512.000000,0.000000,0.076792,0.071726,0.019626
256.000000,0.000000,0.077001,0.075861,0.019717
128.000000,0.000000,0.079772,0.076084,0.019857
64.000000,0.000000,0.099602,0.088043,0.019902
32.000000,0.000000,0.096913,0.088377,0.019792
16.000000,0.000000,0.076418,0.077641,0.022524
8.000000,0.000000,0.097834,0.150239,0.019747
4.000000,0.000000,0.082099,0.296612,0.020015
